halte_ID,halte_Name,halte_City,halteLat,halteLon
P00259,Tirtayasa,Jakarta Selatan,-6.239207,106.80777
B02335P,Masjid Jami At Taqwa 2,Jakarta Timur,-6.229704,106.8962
B00037P,Ampera 3,Jakarta Selatan,-6.291196,106.81706
B01704P,Jln. Warakas I Gg. 8,Jakarta Utara,-6.117623,106.87674
B03892P,Sbr. KBN Sukapura,Jakarta Utara,-6.143455,106.92204
B01468P,Jln. Penataran,Jakarta Pusat,-6.20228,106.84418
B06085P,Tebet Eco Park Selatan 2,Jakarta Selatan,-6.240297,106.85297
B02718P,Pemadam Pos Tebet,Jakarta Selatan,-6.240021,106.84547
B02616P,Ps. Inpres Kebayoran,Jakarta Selatan,-6.235633,106.78445
B04179P,Sbr. PAUD Bintang Pondok Bambu,Jakarta Timur,-6.245306,106.9058
B02533P,Nizamia Andalusia,Jakarta Timur,-6.307781,106.8977
B00136P,Bidara 1,Jakarta Utara,-6.106097,106.9595
B02484P,MTsN 3 Jakarta,Jakarta Selatan,-6.282959,106.77181
B03272P,Rusun Flamboyan,Jakarta Barat,-6.131366,106.72427
B03010P,Puri Ardhya Garini,Jakarta Timur,-6.25703,106.88392
B00379P,Gading Griya Lestari,Jakarta Utara,-6.141405,106.92188
P00229,SMP 140,Jakarta Utara,-6.139776,106.8592
B02429P,Mesjid Nurul Huda Kebagusan,Jakarta Selatan,-6.314214,106.82536
B05577P,Taman Barito Sembar,Jakarta Utara,-6.132105,106.92023
B05176P,Simpang Tj. Duren Raya,Jakarta Barat,-6.173776,106.78377
B05881P,Wijaya Kusuma,Jakarta Selatan,-6.333008,106.83567
B05729P,Term. Tj. Priok 2,Jakarta Utara,-6.109718,106.8834
B04326P,Sbr. SDN Bendungan Hilir 01,Jakarta Pusat,-6.207379,106.80896
B06050P,Bluegreen Office,Jakarta Barat,-6.176874,106.7287
B05575P,Taman Bambu 1,Jakarta Timur,-6.302506,106.91524
